CAGE,ID,PROJECT,SEX,EGLN2,MMTV-PYVT,C3TAG,DOB,FATHER,MOTHER,SAC_DATE,AGE,COMMENT,,,,,,,,,,,,,,
2501601,354,PyVT,F,-/-,-/-,,11/26/16,230,193,01/17/17,7,genotype unecessary to project,,,,,,,,,,,,,,
2501602,357,PyVT,F,-/-,-/-,,11/26/16,230,193,01/17/17,7,genotype unecessary to project,,,,,,,,,,,,,,
2501603,358,FVB/NJ*E2,M,,,,12/07/16,170,192,01/17/17,6,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501603,359,FVB/NJ*E2,M,,,,12/07/16,170,192,01/17/17,6,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501603,360,FVB/NJ*E2,M,,,,12/07/16,170,192,01/17/17,6,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501603,364,FVB/NJ*E2,M,+/-,,,12/07/16,170,192,01/17/17,6,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2495500,909,B6*E2,F,(+/-),,,07/23/15,177,B6,01/17/17,78,found dead; removed 01/17/17,,,,,,,,,,,,,,
2501557,242,PyVT,F,+/-,o/-,,09/26/16,101,178,01/17/17,16,bilateral tumors >4cm^2 on head neck and abdomen; open wounds at tumor sites,,,,,,,,,,,,,,
2495504,910,B6*E2,M,(+/-),,,07/23/15,177,B6,01/17/17,78,open wound on back; DLAM notified to cull,,,,,,,,,,,,,,
2501592,312,PyVT,F,+/-,o/-,,11/13/16,221,227,01/17/17,9,genotype unecessary to project,,,,,,,,,,,,,,
2501612,384,PyVT,M,,,,12/18/16,277,276,01/17/17,4,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501612,385,PyVT,M,,,,12/18/16,277,276,01/17/17,4,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501529,210,PyVT,M,+/+,-/-,,08/10/16,003.1,178,01/17/17,23,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501572,159,PyVT,F,+/-,-/-,-/-,01/17/16,515,516,01/17/17,52,abdomen swollen edema; DLAM requested to cull,,,,,,,,,,,,,,
2495493,912,B6*E2,F,,,,???,???,???,01/17/17,,donated by Whitmire lab; open wound on neck; DLAM requested to cull,,,,,,,,,,,,,,
2501562,256,PyVT,F,-/-,o/-,,10/05/16,202,177,01/20/17,15,bilateral tumors >4cm^2 dark in color and open wounds; DLAM notified to cull; impregnated due to pairing in same cage as 258,,,,,,,,,,,,,,
2501084,259,PyVT,F,+/-,-/-,,10/05/16,202,177,01/20/17,15,bilateral tumors ~4cm^2 on neck chest and abdomen; DLAM notified to cull,,,,,,,,,,,,,,
2501610,380,FVB/NJ*E2,F,+/-,-/-,,12/17/16,170,268;269,01/22/17,5,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501610,381,FVB/NJ*E2,F,+/-,-/-,,12/17/16,170,268;269,01/22/17,5,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501610,382,FVB/NJ*E2,F,+/-,-/-,,12/17/16,170,268;269,01/22/17,5,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501604,365,FVB/NJ*E2,F,+/-,-/-,,12/07/16,170,192,01/22/17,7,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501604,366,FVB/NJ*E2,F,+/-,-/-,,12/07/16,170,192,01/22/17,7,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501605,367,PyVT,F,,-/-,,12/18/16,186,199,01/22/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501605,368,PyVT,F,+/-,o/-,,12/18/16,186,199,01/22/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501605,369,PyVT,F,+/-,o/-,,12/18/16,230,261,01/22/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501605,370,PyVT,F,+/-,-/-,,12/18/16,230,261,01/22/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501605,371,PyVT,F,+/-,-/-,,12/18/16,230,261,01/22/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501594,319,FVB/NJ*E2,F,+/-,(-/-),,11/18/16,196,216,01/22/17,9,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501594,320,FVB/NJ*E2,F,+/-,(-/-),,11/18/16,196,216,01/22/17,9,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501594,321,FVB/NJ*E2,F,+/-,(-/-),,11/18/16,196,216,01/22/17,9,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501594,322,FVB/NJ*E2,F,+/-,(-/-),,11/18/16,196,216,01/22/17,9,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501595,330,PyVT,F,+/-,,,11/18/16,202,157,01/22/17,9,genotype unecessary to project,,,,,,,,,,,,,,
2501597,331,PyVT,F,+/-,-/-,,11/25/16,186,199;226,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501598,335,PyVT,F,+/-,o/-,,11/30/16,186,199;226,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501598,336,PyVT,F,+/-,-/-,,11/30/16,186,199;226,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501598,337,PyVT,F,+/-,,,11/30/16,186,199;226,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501601,351,PyVT,F,+/-,o/-,,11/26/16,230,193,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501601,353,PyVT,F,,-/-,,11/26/16,230,193,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501602,355,PyVT,F,,-/-,,11/26/16,230,193,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501602,356,PyVT,F,+/-,o/-,,11/26/16,230,193,01/22/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501590,307,PyVT,F,+/-,-/-,,10/23/16,221,226,01/22/17,13,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501590,308,PyVT,F,+/-,-/-,,10/23/16,221,226,01/22/17,13,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
2501592,313,PyVT,F,+/-,-/-,,11/13/16,221,227,01/22/17,10,genotype unecessary to project; sufficient number of FVB/NJ*E2 het females,,,,,,,,,,,,,,
-,388,PyVT,M,,,,01/02/17,250,255;257,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,389,PyVT,M,,,,01/02/17,250,255;257,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,390,PyVT,M,,,,01/02/17,250,255;257,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,391,PyVT,M,,,,01/02/17,250,255;257,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,396,PyVT,M,,,,01/02/17,230,265,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,397,PyVT,M,,,,01/02/17,230,265,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,398,PyVT,M,,,,01/02/17,230,265,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,399,PyVT,M,,,,01/02/17,230,265,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,400,PyVT,M,,,,01/02/17,230,265,01/22/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,405,PyVT,M,,,,01/07/17,277,276,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,406,PyVT,M,,,,01/07/17,277,276,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,407,PyVT,M,,,,01/07/17,277,276,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,411,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,412,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,413,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,414,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,415,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,416,PyVT,M,,,,01/08/17,202,239;159,01/29/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,420,FVB/NJ*E2,M,,,,01/06/17,170,268;269,01/29/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
2501563,262,PyVT,F,,-/-,,10/05/16,202,177,02/04/17,17,DLAM found lethargic unresponsive in corner; DLAM requested to cull,,,,,,,,,,,,,,
-,431,PyVT,M,,,,01/16/17,230,295,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,432,PyVT,M,,,,01/16/17,230,295,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,433,PyVT,M,,,,01/16/17,230,295,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,434,PyVT,M,,,,01/19/17,250,227;255,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,435,PyVT,M,,,,01/19/17,250,227;255,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,436,PyVT,M,,,,01/19/17,250,227;255,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,437,PyVT,M,,,,01/19/17,250,227;255,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,438,PyVT,M,,,,01/19/17,250,227;255,02/09/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501611,,B6*E2,M,,,,???,???,???,02/02/17,,open wounds bleeding on neck and back; DLAM notified to cull; donated 09/14/16,,,,,908;909,09/19/16,01/17/17,-,0,unsuccessful,,,,
2495511,225,PyVT,F,+/+,o/-,,08/24/16,003.1,177;199,02/12/17,25,found dead and removed by DLAM; no tumors when checked 02/06/17 with MT,,,,,,,,,,,,,,
2501627,425,FVB/NJ*E2,F,+/-,(-/-),,01/06/17,170,268;269,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501627,423,FVB/NJ*E2,F,+/-,(-/-),,01/06/17,170,268;269,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501626,418,PyVT,F,+/-,o/-,,01/08/17,202,239;159,02/15/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501626,419,PyVT,F,,-/-,,01/08/17,202,239;159,02/15/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2501625,409,PyVT,F,,-/-,,01/07/17,277,276,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501625,410,PyVT,F,,-/-,,01/07/17,277,276,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501615,401,PyVT,F,+/-,(-/-),,01/02/17,230,265,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501615,402,PyVT,F,+/-,(-/-),,01/02/17,230,265,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501613,387,PyVT,F,+/-,-/-,,12/18/16,277,276,02/15/17,8,genotype unecessary to project,,,,,,,,,,,,,,
2501614,392,PyVT,F,+/-,,,01/02/17,250,227;255,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501614,393,PyVT,F,+/-,,,01/02/17,250,227;255,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501614,394,PyVT,F,+/-,,,01/02/17,250,227;255,02/15/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2501595,329,PyVT,F,-/-,-/-,,11/18/16,202,157,02/15/17,13,genotype unecessary to project,,,,,,,,,,,,,,
2501084,228,PyVT,M,-/-,o/-,,08/24/16,003.1,177;199,02/15/17,25,tumor on right chest; DLAM requested to cull,,,,,,,,,,,,,,
-,448,PyVT,M,,,,01/26/17,230,265,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,449,PyVT,M,,,,01/26/17,230,265,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,450,PyVT,M,,,,01/26/17,230,265,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,457,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,458,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,459,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,460,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,461,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,462,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,463,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,464,FVB/NJ*E2,M,,,,01/26/17,170,284;286,02/15/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,469,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,470,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,471,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,472,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,473,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,474,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,475,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,476,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,477,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,478,PyVT,M,,,,01/26/17,250,289;291,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,480,PyVT,M,,,,01/26/17,202,292,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,481,PyVT,M,,,,01/26/17,202,292,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,482,PyVT,M,,,,01/26/17,202,292,02/15/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
2501531,220,PyVT,M,+/-,o/-,,08/10/16,101,157,02/20/17,28,tumors >4cm^2 in size; DLAM notified to cull,,,,,,,,,,,,,,
2501579,297,PyVT,F,+/-,-/-,,10/23/16,221,227,02/21/17,17,MT mammary pad injection practice; MT recommendation to cull,,,,,,,,,,,,,,
2501579,298,PyVT,F,+/-,-/-,,10/23/16,221,227,02/21/17,17,MT mammary pad injection practice; MT recommendation to cull,,,,,,,,,,,,,,
2501582,269,PyVT,M,+/-,-/-,,10/11/16,277,226,02/21/17,19,mistaken for female; sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,494,PyVT,M,,,,02/01/17,277,276,02/24/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,495,PyVT,M,,,,02/01/17,277,276,02/24/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,496,PyVT,M,,,,02/01/17,277,276,02/24/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,497,PyVT,M,,,,02/01/17,277,276,02/24/17,3,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
2501570,276,FVB/NJ*E2,F,+/-,-/-,,10/23/16,202,159,03/03/17,19,tumor on right chest; culled before reached >4cm^2,,,,,,,,,,,,,,
2501562,258,PyVT,M,-/-,o/-,,10/05/16,202,177,03/03/17,21,swelling/tumor on chest; DLAM requested to cull,,,,,,,,,,,,,,
2495510,234,PyVT,M,+/-,o/-,,08/24/16,003,177;199,03/03/17,27,swelling/tumor on chest; DLAM requested to cull,,,,,,,,,,,,,,
2533787,428,PyVT,F,+/-,,,01/16/17,230,295,03/03/17,7,genotype unecessary to project,,,,,,,,,,,,,,
2533787,429,PyVT,F,+/-,,,01/16/17,230,295,03/03/17,7,genotype unecessary to project,,,,,,,,,,,,,,
2533787,430,PyVT,F,+/+,-/-,,01/16/17,230,295,03/03/17,7,genotype unecessary to project,,,,,,,,,,,,,,
2533788,439,PyVT,F,+/-,,,01/19/17,250,227;255,03/03/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2533788,440,PyVT,F,-/-,-/-,,01/19/17,250,227;255,03/03/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2533788,441,PyVT,F,+/-,,,01/19/17,250,227;255,03/03/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2533788,442,PyVT,F,+/-,,,01/19/17,250,227;255,03/03/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2533788,443,PyVT,F,+/-,,,01/19/17,250,227;255,03/03/17,6,genotype unecessary to project,,,,,,,,,,,,,,
2533789,250,PyVT,M,-/-,o/-,,09/26/16,101,178,03/03/17,23,swelling/tumor on chest; DLAM requested to cull,,,,,,,,,,,,,,
2533790,444,PyVT,F,,-/-,,01/26/17,230,265,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533790,445,PyVT,F,+/-,o/-,,01/26/17,230,265,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533790,446,PyVT,F,,-/-,,01/26/17,230,265,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533790,447,PyVT,F,,-/-,,01/26/17,230,265,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533791,453,FVB/NJ*E2,F,+/-,,,01/26/17,170,284;286,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533792,491,PyVT,F,+/-,o/-,,02/01/17,277,276,03/03/17,4,genotype unecessary to project,,,,,,,,,,,,,,
2533792,492,PyVT,F,+/-,o/-,,02/01/17,277,276,03/03/17,4,genotype unecessary to project,,,,,,,,,,,,,,
2533792,493,PyVT,F,,-/-,,02/01/17,277,276,03/03/17,4,genotype unecessary to project,,,,,,,,,,,,,,
2533793,465,PyVT,F,,-/-,,01/26/17,250,289;291,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533793,466,PyVT,F,,-/-,,01/26/17,250,289;291,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533793,467,PyVT,F,,-/-,,01/26/17,250,289;291,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533793,468,PyVT,F,,-/-,,01/26/17,250,289;291,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533794,479,PyVT,F,+/-,o/-,,01/26/17,202,292,03/03/17,5,genotype unecessary to project,,,,,,,,,,,,,,
-,504,PyVT,M,,,,02/09/17,230,295,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,505,PyVT,M,,,,02/09/17,230,295,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,506,PyVT,M,,,,02/09/17,230,295,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,507,PyVT,M,,,,02/09/17,230,295,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,508,PyVT,M,,,,02/09/17,230,295,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,515,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,516,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,517,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,518,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,519,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,520,PyVT,M,,,,02/10/17,250,227,03/03/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,523,PyVT,M,,,,02/14/17,202,292,03/07/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,531,PyVT,M,,,,02/14/17,269,268,03/07/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,532,PyVT,M,,,,02/14/17,269,268,03/07/17,3,sex unecessary to project - sufficient number of PyVT males,,,,,,,,,,,,,,
-,540,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,541,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,542,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,543,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,544,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,545,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,546,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,547,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
-,548,FVB/NJ*E2,M,,,,02/18/17,170,286;289,03/16/17,4,sex unecessary to project - sufficient number of FVB/NJ*E2 males,,,,,,,,,,,,,,
2533799,513,PyVT,F,,-/-,,02/10/17,250,227,03/16/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533798,514,PyVT,F,,-/-,,02/10/17,250,227,03/16/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533797,501,PyVT,F,,-/-,,02/09/17,230,295,03/16/17,5,genotype unecessary to project,,,,,,,,,,,,,,
2533797,498,PyVT,F,,o/-,,02/09/17,230,295,03/16/17,5,genotype unecessary to project,,,,,,,,,,,,,,
-,483,B6*E2,M,,,,01/28/17,910,B6_F; RS961,02/24/17,4,mistaken for female; culled due to lack of space; unable to place in single cage alone,,,,,,,,,,,,,,
2431037,152,PyVT,F,(+/+),(o/-),,01/06/16,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,,
2358717,,B6*E2,M,,,,07/29/15,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,,
2358717,,B6*E2,M,,,,07/29/15,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,,
2358672,077,C3TAG-EGLN2,F,(+/-),,(o/-),,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
